Year,State,t/ha,kt,Area
1974,Western Australia,1.17,3277.10,2809.90
1975,Western Australia,1.30,4122.00,3171.30
1976,Western Australia,0.98,3248.80,3313.90
1977,Western Australia,0.82,2945.50,3608.90
1978,Western Australia,1.19,4399.50,3705.60
1979,Western Australia,0.91,3739.10,4120.80
1980,Western Australia,0.77,3315.20,4333.10
1981,Western Australia,1.05,4803.00,4593.00
1982,Western Australia,1.09,5322.10,4865.40
1983,Western Australia,0.88,4188.60,4746.20
1984,Western Australia,1.35,6284.20,4651.60
1985,Western Australia,1.04,4316.30,4147.70
1986,Western Australia,1.26,5376.80,4260.20
1987,Western Australia,1.17,3882.30,3312.40
1988,Western Australia,1.58,5225.10,3297.40
1989,Western Australia,1.38,4800.00,3476.40
1990,Western Australia,1.50,5449.10,3632.20
1991,Western Australia,1.47,4736.00,3229.90
1992,Western Australia,1.63,5978.90,3669.30
1993,Western Australia,1.74,6689.30,3852.40
1994,Western Australia,1.41,5437.90,3848.30
1995,Western Australia,1.75,6826.70,3892.40
1996,Western Australia,1.76,7516.00,4263.70
1997,Western Australia,1.84,7724.50,4204.90
1998,Western Australia,1.81,8170.10,4515.30
1999,Western Australia,1.98,9004.10,4556.20
2000,Western Australia,1.30,5814.40,4460.30
2001,Western Australia,1.78,7759.90,4349.90
2002,Western Australia,0.91,4046.90,4457.70
2003,Western Australia,2.25,11070.00,4917.00
2004,Western Australia,1.68,8618.90,5118.30
2005,Western Australia,1.91,9088.10,4752.70
2006,Western Australia,1.27,5134.30,4037.00
2007,Western Australia,1.37,5820.20,4258.20
2008,Western Australia,1.82,8274.00,4541.90
2009,Western Australia,1.62,8114.10,5005.90
2010,Western Australia,1.08,5004.60,4639.50
2011,Western Australia,2.14,11045.11,5155.76
2012,Western Australia,1.37,6744.05,4909.21
2013,Western Australia,1.95,9976.94,5114.89
2014,Western Australia,1.75,8824.41,5038.13
2015,Western Australia,1.84,8510.58,4615.76
2016,Western Australia,2.06,9644.88,4677.77
2017,Western Australia,1.90,7698.55,4056.57
2018,Western Australia,2.28,9979.22,4369.20
2019,Western Australia,1.41,5842.19,4132.71
2020,Western Australia,2.00,9500.00,4750.00
1974,Victoria,1.83,2091.30,1140.70
1975,Victoria,1.47,1578.50,1073.10
1976,Victoria,1.61,1779.60,1103.10
1977,Victoria,1.18,1496.70,1270.30
1978,Victoria,2.24,2998.50,1337.40
1979,Victoria,2.23,3249.60,1456.90
1980,Victoria,1.77,2538.00,1431.00
1981,Victoria,1.87,2466.80,1321.70
1982,Victoria,0.32,422.30,1326.60
1983,Victoria,2.39,3862.50,1613.90
1984,Victoria,1.77,2694.30,1522.60
1985,Victoria,1.55,2342.40,1508.10
1986,Victoria,2.05,2794.60,1363.60
1987,Victoria,1.84,1882.40,1025.70
1988,Victoria,1.82,1691.40,930.90
1989,Victoria,2.06,1961.40,952.30
1990,Victoria,1.64,1493.00,911.50
1991,Victoria,1.73,1150.40,664.10
1992,Victoria,2.45,2015.10,821.20
1993,Victoria,2.59,2021.90,779.90
1994,Victoria,1.14,933.60,821.80
1995,Victoria,2.25,1921.20,853.40
1996,Victoria,2.35,2262.30,962.60
1997,Victoria,1.75,1502.80,856.80
1998,Victoria,1.54,1462.30,948.60
1999,Victoria,2.14,2642.10,1234.60
2000,Victoria,2.70,3079.70,1142.60
2001,Victoria,2.46,2791.40,1136.40
2002,Victoria,0.72,890.20,1238.90
2003,Victoria,2.23,3145.50,1409.20
2004,Victoria,1.45,1927.10,1327.00
2005,Victoria,2.21,2908.90,1314.60
2006,Victoria,0.65,879.30,1347.30
2007,Victoria,1.32,1995.30,1514.00
2008,Victoria,1.14,1755.70,1533.60
2009,Victoria,1.66,2994.90,1801.10
2010,Victoria,2.46,4412.40,1793.10
2011,Victoria,2.36,3943.31,1668.93
2012,Victoria,2.15,3422.86,1591.92
2013,Victoria,2.21,3395.89,1535.82
2014,Victoria,1.76,2631.30,1492.66
2015,Victoria,1.35,1814.87,1341.51
2016,Victoria,3.21,4664.82,1454.20
2017,Victoria,2.54,3682.08,1446.79
2018,Victoria,1.62,2276.60,1402.86
2019,Victoria,2.60,3714.31,1428.86
2020,Victoria,3.18,4768.00,1500.00
1974,Tasmania,1.53,2.30,1.50
1975,Tasmania,1.06,1.70,1.60
1976,Tasmania,1.95,3.90,2.00
1977,Tasmania,1.15,1.50,1.30
1978,Tasmania,2.07,2.90,1.40
1979,Tasmania,1.85,3.70,2.00
1980,Tasmania,1.56,2.50,1.60
1981,Tasmania,1.77,2.30,1.30
1982,Tasmania,1.67,1.50,0.90
1983,Tasmania,2.55,2.80,1.10
1984,Tasmania,1.76,4.40,2.50
1985,Tasmania,2.22,4.00,1.80
1986,Tasmania,2.76,4.70,1.70
1987,Tasmania,3.17,3.80,1.20
1988,Tasmania,2.75,2.20,0.80
1989,Tasmania,3.38,2.70,0.80
1990,Tasmania,4.00,2.40,0.60
1991,Tasmania,2.67,3.20,1.20
1992,Tasmania,3.67,5.50,1.50
1993,Tasmania,3.31,5.30,1.60
1994,Tasmania,2.15,2.80,1.30
1995,Tasmania,3.73,4.10,1.10
1996,Tasmania,3.95,7.50,1.90
1997,Tasmania,4.18,11.70,2.80
1998,Tasmania,4.38,17.50,4.00
1999,Tasmania,3.14,19.80,6.30
2000,Tasmania,3.88,25.60,6.60
2001,Tasmania,4.29,25.30,5.90
2002,Tasmania,3.42,25.30,7.40
2003,Tasmania,3.39,26.10,7.70
2004,Tasmania,4.12,30.50,7.40
2005,Tasmania,4.30,34.00,7.90
2006,Tasmania,2.46,17.70,7.20
2007,Tasmania,3.77,26.80,7.10
2008,Tasmania,4.06,34.90,8.60
2009,Tasmania,3.79,27.30,7.20
2010,Tasmania,3.94,31.90,8.10
2011,Tasmania,4.87,32.25,6.62
2012,Tasmania,5.08,30.44,5.99
2013,Tasmania,5.32,43.48,8.18
2014,Tasmania,5.31,44.24,8.33
2015,Tasmania,5.06,53.36,10.54
2016,Tasmania,5.41,55.78,10.30
2017,Tasmania,5.48,40.29,7.36
2018,Tasmania,5.28,40.10,7.60
2019,Tasmania,6.10,43.81,7.18
2020,Tasmania,5.60,56.00,10.00
1974,South Australia,1.22,1485.60,1220.40
1975,South Australia,1.19,1139.00,958.50
1976,South Australia,0.99,831.90,839.10
1977,South Australia,0.47,510.80,1090.00
1978,South Australia,1.61,2085.70,1295.30
1979,South Australia,1.65,2349.60,1424.20
1980,South Australia,1.14,1650.40,1445.30
1981,South Australia,1.19,1694.70,1427.50
1982,South Australia,0.49,681.20,1398.00
1983,South Australia,1.66,2590.30,1564.00
1984,South Australia,1.38,1899.60,1377.60
1985,South Australia,1.24,1793.10,1442.50
1986,South Australia,1.40,2254.90,1616.30
1987,South Australia,1.16,1803.00,1555.60
1988,South Australia,0.90,1361.10,1520.00
1989,South Australia,1.67,2607.20,1556.60
1990,South Australia,1.40,2020.80,1447.80
1991,South Australia,1.65,2141.00,1296.80
1992,South Australia,1.71,2421.20,1419.50
1993,South Australia,1.74,2121.10,1216.00
1994,South Australia,1.07,1487.40,1394.70
