Year,Egypt,Mozambique,Nigeria,South Africa,Sudan,United Republic of Tanzania,Bangladesh,Myanmar,China,India,Indonesia,Japan,Republic of Korea,Malaysia,Philippines,Singapore,Taiwan,Thailand,Vietnam,Islamic Republic of Iran,Iraq,Kuwait,Oman,Saudi Arabia,United Arab Emirates,Yemen,Fiji,New Zealand,Papua New Guinea,World
1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8197.00
1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7872.00
1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8177.00
1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11132.60
1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6931.40
1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14953.50
1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10648.00
1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10991.00
1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8324.00
1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10600.00
1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15720.00
1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16162.00
1986,2142.00,,,64.00,0.00,,131.00,,3179.00,0.00,608.00,984.00,794.00,503.00,,86.00,,46.00,,1746.00,1034.00,89.00,114.00,,232.00,540.00,58.00,45.00,81.00,14869.00
1987,2050.00,,,0.00,,,191.00,,2258.00,0.00,833.00,1011.00,180.00,456.00,,185.00,,43.00,,2257.00,970.00,104.00,128.00,,133.00,515.00,66.00,126.00,73.00,12402.00
1988,1962.64,0.00,0.00,0.44,0.00,0.00,89.80,0.00,1558.65,12.80,875.63,984.87,190.56,384.76,4.57,98.89,0.00,71.84,47.08,1478.12,1467.99,0.00,125.08,0.00,317.14,316.16,55.58,138.14,66.49,10822.54
1989,1877.24,0.00,0.00,0.42,0.00,0.00,75.65,0.00,1070.72,0.00,763.62,1096.97,230.10,546.12,11.45,117.48,0.04,58.95,29.43,1581.70,1587.70,0.00,145.58,12.09,255.58,506.28,67.03,175.47,104.00,11130.49
1990,1471.50,0.00,0.00,186.90,1.35,6.45,80.81,0.00,1484.73,46.02,784.61,1046.90,1200.31,615.48,6.70,157.90,0.00,57.63,28.95,1821.03,33.76,0.00,146.73,0.00,251.50,711.63,79.72,110.05,83.13,12000.16
1991,566.70,0.00,0.00,0.27,0.00,0.00,63.84,0.00,132.95,0.00,430.78,420.96,184.49,170.32,4.26,73.42,0.00,47.41,53.11,561.08,220.00,0.00,40.06,0.00,57.16,226.33,35.51,56.23,54.81,8169.44
1992,0.00,7.87,0.00,0.20,0.00,0.00,0.00,0.00,1.23,0.00,0.80,0.09,0.00,0.01,0.03,0.07,0.00,0.11,16.54,0.00,0.00,0.06,0.00,0.03,0.05,0.00,0.85,4.65,0.01,9547.64
1993,0.00,1.69,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.02,0.00,0.00,0.03,0.16,3.00,0.13,0.00,0.00,12.90,0.02,0.00,0.00,0.04,0.00,1.49,8.18,0.01,12921.65
1994,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.02,0.00,0.40,0.48,0.01,0.01,7.27,0.05,1.66,0.12,8.97,0.00,0.00,0.00,0.00,0.12,0.26,2.00,0.15,6.86,0.01,7902.57
1995,744.46,22.20,0.00,119.45,0.00,47.97,145.19,0.03,2237.14,25.00,1695.88,1135.19,700.11,676.44,49.45,66.18,34.65,239.32,102.76,1578.81,50.30,134.73,188.27,0.00,203.89,274.90,59.12,161.32,87.34,12073.19
1996,1665.30,45.02,31.50,229.78,94.27,76.94,273.30,1.80,147.72,1390.09,2334.52,1303.94,697.93,730.29,172.38,63.75,63.53,183.86,144.00,3632.00,583.60,206.90,220.60,0.06,375.98,470.10,73.04,176.55,96.86,18379.97
1997,619.22,37.15,20.00,131.12,114.17,78.72,185.31,9.85,166.08,1941.32,2355.41,1171.15,770.81,678.70,21.43,82.82,29.28,297.25,304.03,486.04,1274.86,111.30,345.38,0.35,355.21,619.95,69.15,113.10,129.96,15287.82
1998,1496.36,20.08,0.00,196.14,195.34,186.90,366.50,8.21,176.51,587.15,1724.35,1110.11,1137.76,837.99,188.20,114.77,51.03,341.08,443.49,1608.26,1179.34,228.83,187.26,0.12,519.48,529.50,79.01,110.10,114.82,16442.14
1999,1018.27,19.00,0.00,189.16,283.46,196.96,476.10,21.24,136.35,445.97,1867.91,1189.27,1148.07,790.28,376.31,94.50,87.17,295.65,446.81,1519.55,2265.13,175.64,375.94,0.04,527.67,587.62,88.70,159.02,148.10,17329.20
