"","Year","Region","Export_Total"
"1","1990","Asia",5510.032465
"2","1990","Africa",1666.191691
"3","1990","Pacific",272.896915
"4","1990","Middle East",2964.639732
"5","1991","Asia",1581.537075
"6","1991","Africa",566.9709
"7","1991","Pacific",146.550943
"8","1991","Middle East",1104.624026
"9","1992","Asia",18.86085
"10","1992","Africa",8.07282
"11","1992","Pacific",5.513806
"12","1992","Middle East",0.07611
"13","1993","Asia",3.528131
"14","1993","Africa",1.98789
"15","1993","Pacific",9.684128
"16","1993","Middle East",12.93612
"17","1994","Asia",18.990037
"18","1994","Africa",0.32508
"19","1994","Pacific",7.021063
"20","1994","Middle East",2.376825
"21","1995","Asia",7107.341393
"22","1995","Africa",934.07464
"23","1995","Pacific",307.77992
"24","1995","Middle East",2296.167389
"25","1996","Asia",7507.100652
"26","1996","Africa",2142.80859
"27","1996","Pacific",346.452234
"28","1996","Middle East",5282.33896
"29","1997","Asia",8013.436159
"30","1997","Africa",1000.37376
"31","1997","Pacific",312.200739
"32","1997","Middle East",3081.79274
"33","1998","Asia",7087.140421
"34","1998","Africa",2094.81244
"35","1998","Pacific",303.93591
"36","1998","Middle East",4023.9482
"37","1999","Asia",7375.618735
"38","1999","Africa",1706.85466
"39","1999","Pacific",395.815031
"40","1999","Middle East",5275.94464
"41","2000","Asia",6662.935595
"42","2000","Africa",1846.68874
"43","2000","Pacific",420.525961
"44","2000","Middle East",5980.9485
"45","2001","Asia",6082.588757
"46","2001","Africa",2563.68844
"47","2001","Pacific",516.879914
"48","2001","Middle East",5455.40251
"49","2002","Asia",5197.454592
"50","2002","Africa",1278.8718
"51","2002","Pacific",557.790782
"52","2002","Middle East",2682.2212
"53","2003","Asia",7697.637379
"54","2003","Africa",3581.618
"55","2003","Pacific",534.517733
"56","2003","Middle East",1595.45929
"57","2004","Asia",9518.915224
"58","2004","Africa",1754.955
"59","2004","Pacific",607.046567
"60","2004","Middle East",2168.41215
"61","2005","Asia",8176.397243
"62","2005","Africa",2999.589
"63","2005","Pacific",599.072072
"64","2005","Middle East",2249.93303
"65","2006","Asia",8100.721437
"66","2006","Africa",968.816
"67","2006","Pacific",643.480958
"68","2006","Middle East",886.458
"69","2007","Asia",4908.500372
"70","2007","Africa",743.092
"71","2007","Pacific",561.284097
"72","2007","Middle East",751.75
"73","2008","Asia",7353.92099
"74","2008","Africa",1310.456
"75","2008","Pacific",523.669132
"76","2008","Middle East",3186.001
"77","2009","Asia",9227.103993
"78","2009","Africa",1301.9478
"79","2009","Pacific",598.128191
"80","2009","Middle East",1619.362
"81","2010","Asia",12770.42737
"82","2010","Africa",1735.20622
"83","2010","Pacific",688.146007
"84","2010","Middle East",2263.662
"85","2011","Asia",16860.013
"86","2011","Africa",1949.821
"87","2011","Pacific",863.537501
"88","2011","Middle East",2261.674
"89","2012","Asia",12489.66638
"90","2012","Africa",2261.015
"91","2012","Pacific",785.09126
"92","2012","Middle East",4534.817
"93","2013","Asia",10890.8352
"94","2013","Africa",1958.16566
"95","2013","Pacific",844.3015
"96","2013","Middle East",3447.36716
"97","2014","Asia",11583.5421
"98","2014","Africa",1534.10235
"99","2014","Pacific",902.58906
"100","2014","Middle East",1614.703
"101","2015","Asia",11624.33451
"102","2015","Africa",826.1472
"103","2015","Pacific",898.01114
"104","2015","Middle East",1397.87807
"105","2016","Asia",17989.93389
"106","2016","Africa",562.68885
"107","2016","Pacific",868.94101
"108","2016","Middle East",1424.19659
"109","2017","Asia",11533.10445
"110","2017","Africa",670.91723
"111","2017","Pacific",967.87094
"112","2017","Middle East",1290.63
"113","2018","Asia",6947.19692
"114","2018","Africa",180.20603
"115","2018","Pacific",890.23181
"116","2018","Middle East",1093.249
"117","2019","Asia",7562.556684
"118","2019","Africa",217.5420356
"119","2019","Pacific",844.2754581
"120","2019","Middle East",757.18475
"121","2020","Asia",13645.56407
"122","2020","Africa",1589.892788
"123","2020","Pacific",874.2776148
"124","2020","Middle East",1525.890674
