"","Year","Region","Export_Total"
"1",1990,"Asia",5510.032465
"2",1990,"Africa",1666.191691
"3",1990,"Pacific",272.896915
"4",1990,"Middle East",2964.639732
"5",1990,"World",12000.15622
"6",1991,"Asia",1581.537075
"7",1991,"Africa",566.9709
"8",1991,"Pacific",146.550943
"9",1991,"Middle East",1104.624026
"10",1991,"World",8169.443164
"11",1992,"Asia",18.86085
"12",1992,"Africa",8.07282
"13",1992,"Pacific",5.513806
"14",1992,"Middle East",0.07611
"15",1992,"World",9547.638181
"16",1993,"Asia",3.528131
"17",1993,"Africa",1.98789
"18",1993,"Pacific",9.684128
"19",1993,"Middle East",12.93612
"20",1993,"World",12921.65056
"21",1994,"Asia",18.990037
"22",1994,"Africa",0.32508
"23",1994,"Pacific",7.021063
"24",1994,"Middle East",2.376825
"25",1994,"World",7902.566279
"26",1995,"Asia",7107.341393
"27",1995,"Africa",934.07464
"28",1995,"Pacific",307.77992
"29",1995,"Middle East",2296.167389
"30",1995,"World",12073.1901
"31",1996,"Asia",7507.100652
"32",1996,"Africa",2142.80859
"33",1996,"Pacific",346.452234
"34",1996,"Middle East",5282.33896
"35",1996,"World",18379.96529
"36",1997,"Asia",8013.436159
"37",1997,"Africa",1000.37376
"38",1997,"Pacific",312.200739
"39",1997,"Middle East",3081.79274
"40",1997,"World",15287.81877
"41",1998,"Asia",7087.140421
"42",1998,"Africa",2094.81244
"43",1998,"Pacific",303.93591
"44",1998,"Middle East",4023.9482
"45",1998,"World",16442.14356
"46",1999,"Asia",7375.618735
"47",1999,"Africa",1706.85466
"48",1999,"Pacific",395.815031
"49",1999,"Middle East",5275.94464
"50",1999,"World",17329.19943
"51",2000,"Asia",6662.935595
"52",2000,"Africa",1846.68874
"53",2000,"Pacific",420.525961
"54",2000,"Middle East",5980.9485
"55",2000,"World",16621.0847
"56",2001,"Asia",6082.588757
"57",2001,"Africa",2563.68844
"58",2001,"Pacific",516.879914
"59",2001,"Middle East",5455.40251
"60",2001,"World",16464.77181
"61",2002,"Asia",5197.454592
"62",2002,"Africa",1278.8718
"63",2002,"Pacific",557.790782
"64",2002,"Middle East",2682.2212
"65",2002,"World",10845.09899
"66",2003,"Asia",7697.637379
"67",2003,"Africa",3581.618
"68",2003,"Pacific",534.517733
"69",2003,"Middle East",1595.45929
"70",2003,"World",15074.45161
"71",2004,"Asia",9518.915224
"72",2004,"Africa",1754.955
"73",2004,"Pacific",607.046567
"74",2004,"Middle East",2168.41215
"75",2004,"World",15779.55001
"76",2005,"Asia",8176.397243
"77",2005,"Africa",2999.589
"78",2005,"Pacific",599.072072
"79",2005,"Middle East",2249.93303
"80",2005,"World",15168.01841
"81",2006,"Asia",8100.721437
"82",2006,"Africa",968.816
"83",2006,"Pacific",643.480958
"84",2006,"Middle East",886.458
"85",2006,"World",11196.37996
"86",2007,"Asia",4908.500372
"87",2007,"Africa",743.092
"88",2007,"Pacific",561.284097
"89",2007,"Middle East",751.75
"90",2007,"World",7407.729313
"91",2008,"Asia",7353.92099
"92",2008,"Africa",1310.456
"93",2008,"Pacific",523.669132
"94",2008,"Middle East",3186.001
"95",2008,"World",13409.82658
"96",2009,"Asia",9227.103993
"97",2009,"Africa",1301.9478
"98",2009,"Pacific",598.128191
"99",2009,"Middle East",1619.362
"100",2009,"World",13725.24453
"101",2010,"Asia",12770.42737
"102",2010,"Africa",1735.20622
"103",2010,"Pacific",688.146007
"104",2010,"Middle East",2263.662
"105",2010,"World",18431.20861
"106",2011,"Asia",16860.013
"107",2011,"Africa",1949.821
"108",2011,"Pacific",863.537501
"109",2011,"Middle East",2261.674
"110",2011,"World",23026.15741
"111",2012,"Asia",12489.66638
"112",2012,"Africa",2261.015
"113",2012,"Pacific",785.09126
"114",2012,"Middle East",4534.817
"115",2012,"World",21264.76982
"116",2013,"Asia",10890.8352
"117",2013,"Africa",1958.16566
"118",2013,"Pacific",844.3015
"119",2013,"Middle East",3447.36716
"120",2013,"World",18336.33499
"121",2014,"Asia",11583.5421
"122",2014,"Africa",1534.10235
"123",2014,"Pacific",902.58906
"124",2014,"Middle East",1614.703
"125",2014,"World",16571.09656
"126",2015,"Asia",11624.33451
"127",2015,"Africa",826.1472
"128",2015,"Pacific",898.01114
"129",2015,"Middle East",1397.87807
"130",2015,"World",15777.26623
"131",2016,"Asia",17989.93389
"132",2016,"Africa",562.68885
"133",2016,"Pacific",868.94101
"134",2016,"Middle East",1424.19659
"135",2016,"World",22057.07296
"136",2017,"Asia",11533.10445
"137",2017,"Africa",670.91723
"138",2017,"Pacific",967.87094
"139",2017,"Middle East",1290.63
"140",2017,"World",15492.27054
"141",2018,"Asia",6947.19692
"142",2018,"Africa",180.20603
"143",2018,"Pacific",890.23181
"144",2018,"Middle East",1093.249
"145",2018,"World",9805.21859
"146",2019,"Asia",7562.556684
"147",2019,"Africa",217.5420356
"148",2019,"Pacific",844.2754581
"149",2019,"Middle East",757.18475
"150",2019,"World",10114.82801
"151",2020,"Asia",13645.56407
"152",2020,"Africa",1589.892788
"153",2020,"Pacific",874.2776148
"154",2020,"Middle East",1525.890674
"155",2020,"World",19716.22337
"156",1990,"Asia",NA
"157",1990,"Africa",NA
"158",1990,"Pacific",NA
"159",1990,"Middle East",NA
"160",1990,"World",NA
"161",1991,"Asia",NA
"162",1991,"Africa",NA
"163",1991,"Pacific",NA
"164",1991,"Middle East",NA
"165",1991,"World",NA
"166",1992,"Asia",NA
"167",1992,"Africa",NA
"168",1992,"Pacific",NA
"169",1992,"Middle East",NA
"170",1992,"World",NA
"171",1993,"Asia",NA
"172",1993,"Africa",NA
"173",1993,"Pacific",NA
"174",1993,"Middle East",NA
"175",1993,"World",NA
"176",1994,"Asia",NA
"177",1994,"Africa",NA
"178",1994,"Pacific",NA
"179",1994,"Middle East",NA
"180",1994,"World",NA
"181",1995,"Asia",NA
"182",1995,"Africa",NA
"183",1995,"Pacific",NA
"184",1995,"Middle East",NA
"185",1995,"World",NA
"186",1996,"Asia",NA
"187",1996,"Africa",NA
"188",1996,"Pacific",NA
"189",1996,"Middle East",NA
"190",1996,"World",NA
"191",1997,"Asia",NA
"192",1997,"Africa",NA
"193",1997,"Pacific",NA
"194",1997,"Middle East",NA
"195",1997,"World",NA
"196",1998,"Asia",NA
"197",1998,"Africa",NA
"198",1998,"Pacific",NA
"199",1998,"Middle East",NA
"200",1998,"World",NA
"201",1999,"Asia",NA
"202",1999,"Africa",NA
"203",1999,"Pacific",NA
"204",1999,"Middle East",NA
"205",1999,"World",NA
"206",2000,"Asia",NA
"207",2000,"Africa",NA
"208",2000,"Pacific",NA
"209",2000,"Middle East",NA
"210",2000,"World",NA
"211",2001,"Asia",NA
"212",2001,"Africa",NA
"213",2001,"Pacific",NA
"214",2001,"Middle East",NA
"215",2001,"World",NA
"216",2002,"Asia",NA
"217",2002,"Africa",NA
"218",2002,"Pacific",NA
"219",2002,"Middle East",NA
"220",2002,"World",NA
"221",2003,"Asia",NA
"222",2003,"Africa",NA
"223",2003,"Pacific",NA
"224",2003,"Middle East",NA
"225",2003,"World",NA
"226",2004,"Asia",NA
"227",2004,"Africa",NA
"228",2004,"Pacific",NA
"229",2004,"Middle East",NA
"230",2004,"World",NA
"231",2005,"Asia",NA
"232",2005,"Africa",NA
"233",2005,"Pacific",NA
"234",2005,"Middle East",NA
"235",2005,"World",NA
"236",2006,"Asia",NA
"237",2006,"Africa",NA
"238",2006,"Pacific",NA
"239",2006,"Middle East",NA
"240",2006,"World",NA
"241",2007,"Asia",NA
"242",2007,"Africa",NA
"243",2007,"Pacific",NA
"244",2007,"Middle East",NA
"245",2007,"World",NA
"246",2008,"Asia",NA
"247",2008,"Africa",NA
"248",2008,"Pacific",NA
"249",2008,"Middle East",NA
"250",2008,"World",NA
"251",2009,"Asia",NA
"252",2009,"Africa",NA
"253",2009,"Pacific",NA
"254",2009,"Middle East",NA
"255",2009,"World",NA
"256",2010,"Asia",NA
"257",2010,"Africa",NA
"258",2010,"Pacific",NA
"259",2010,"Middle East",NA
"260",2010,"World",NA
"261",2011,"Asia",NA
"262",2011,"Africa",NA
"263",2011,"Pacific",NA
"264",2011,"Middle East",NA
"265",2011,"World",NA
"266",2012,"Asia",NA
"267",2012,"Africa",NA
"268",2012,"Pacific",NA
"269",2012,"Middle East",NA
"270",2012,"World",NA
"271",2013,"Asia",NA
"272",2013,"Africa",NA
"273",2013,"Pacific",NA
"274",2013,"Middle East",NA
"275",2013,"World",NA
"276",2014,"Asia",NA
"277",2014,"Africa",NA
"278",2014,"Pacific",NA
"279",2014,"Middle East",NA
"280",2014,"World",NA
"281",2015,"Asia",NA
